Date/Time,SOUTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WINDOW LEFT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUWTH WINDOW RIGHT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),ZONE 1:Zone Air System Sensible Heating Rate [W](Hourly),ZONE 1:Zone Air System Sensible Cooling Rate [W](Hourly) 
 01/01  12:00:00,941.6137077749876,941.6137077749876,941.6137077749876,199.66107974333193,85.35121578415792,85.35121578415792,493.0319031372155,564.9682246649925,119.79664784599913,51.21072947049475,51.21072947049475,295.8191418823293,0.0,2557.7876644137255 
 01/01  13:00:00,918.5280554005634,918.5280554005634,918.5280554005634,70.6686357813885,70.6686357813885,190.77066160202333,475.40865410514587,551.116833240338,42.4011814688331,42.4011814688331,114.46239696121399,285.24519246308747,0.0,4611.687015597362 
 01/01  14:00:00,825.4710652457992,825.4710652457992,825.4710652457992,49.90819747636143,49.90819747636143,380.56343892638207,399.6040882837648,495.2826391474794,29.944918485816858,29.944918485816858,228.3380633558292,239.76245297025893,0.0,5109.454107743053 
 01/01  15:00:00,639.4186325876558,639.4186325876558,639.4186325876558,27.82905689339292,27.82905689339292,482.9635990590676,266.31483743041147,383.6511795525935,16.697434136035754,16.697434136035754,289.77815943544058,159.78890245824688,0.0,4477.961696325968 
 01/01  16:00:00,388.74365142666877,388.74365142666877,388.74365142666877,12.540144485157797,12.540144485157797,431.61453779664427,117.95531329748158,233.2461908560012,7.524086691094677,7.524086691094677,258.9687226779866,70.77318797848895,0.0,3073.829492878111 
 01/01  17:00:00,58.144904297507668,58.144904297507668,58.144904297507668,4.365064676294259,4.365064676294259,84.55416967850705,12.195584934577699,34.88694257850459,2.6190388057765556,2.6190388057765556,50.73250180710423,7.317350960746619,0.0,945.9637946973626 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4178703239814,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.9832792085164,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.4805994031917,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1301.2265336701519,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.5645849950863,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811.8485292606535,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.696809732092,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2167.862006867878,0.0 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2294.727341201813,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2393.02281744399,0.0 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2494.6604811740954,0.0 
 01/02  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.5370096697343,0.0 
 01/02  08:00:00,3.685575585735493,3.685575585735493,3.685575585735493,3.8372620194422586,3.3726307274917048,3.3726307274917048,6.610773005217861,2.2113453514412955,2.302357211665355,2.023578436495023,2.023578436495023,3.966463803130716,2625.928734645988,0.0 
 01/02  09:00:00,16.746336379972797,16.746336379972797,16.746336379972797,16.96496488802197,14.785904403523653,14.785904403523653,29.10769335074704,10.047801827983678,10.178978932813184,8.871542642114191,8.871542642114191,17.464616010448226,2607.996064342708,0.0 
 01/02  10:00:00,28.41980110971879,28.41980110971879,28.41980110971879,27.640807092909115,25.43586108141626,25.43586108141626,49.97894333394428,17.051880665831275,16.584484255745467,15.261516648849757,15.261516648849757,29.987366000366565,2557.108951102903,0.0 
 01/02  11:00:00,36.747786757659,36.747786757659,36.747786757659,34.817508401370819,33.41140331419004,33.41140331419004,65.3661302104728,22.048672054595398,20.89050504082249,20.04684198851402,20.04684198851402,39.21967812628368,2479.4980794151124,0.0 
 01/02  12:00:00,41.05102126992605,41.05102126992605,41.05102126992605,38.02843059839843,37.556505001200509,37.556505001200509,73.30619678115079,24.63061276195563,22.817058359039053,22.533903000720306,22.533903000720306,43.98371806869047,2460.894509549841,0.0 
 01/02  13:00:00,40.44941464900862,40.44941464900862,40.44941464900862,36.95679200635734,36.95679200635734,37.45120684869741,72.17892075140493,24.269648789405168,22.174075203814405,22.174075203814405,22.470724109218449,43.307352450842959,2519.9037248691116,0.0 
 01/02  14:00:00,35.08225576057346,35.08225576057346,35.08225576057346,31.751424147839715,31.751424147839715,33.17848587527144,62.23445722890106,21.049353456344073,19.050854488703828,19.050854488703828,19.907091525162867,37.34067433734063,2579.9742365857655,0.0 
 01/02  15:00:00,25.87534589751617,25.87534589751617,25.87534589751617,22.991498656203679,22.991498656203679,25.137478355992948,45.30649727346551,15.525207538509703,13.794899193722206,13.794899193722206,15.082487013595769,27.183898364079299,2640.4751403262576,0.0 
 01/02  16:00:00,13.659462881012875,13.659462881012875,13.659462881012875,11.90837822592866,11.90837822592866,13.866720218200129,23.5382191952095,8.195677728607724,7.145026935557196,7.145026935557196,8.320032130920078,14.122931517125702,2748.9574239493463,0.0 
 01/02  17:00:00,1.8723035963819517,1.8723035963819517,1.8723035963819517,1.5280669908331955,1.5280669908331955,2.047041747651215,2.9869540282564146,1.123382157829171,0.9168401944999172,0.9168401944999172,1.228225048590729,1.7921724169538487,2915.802709099648,0.0 
 01/02  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.656252378427,0.0 
 01/02  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.397114381712,0.0 
 01/02  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3169.7070201209935,0.0 
 01/02  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198.669994003344,0.0 
