Date/Time,SOUTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WINDOW LEFT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUWTH WINDOW RIGHT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly) 
 09/18  16:00:00,325.018147535485,325.018147535485,325.018147535485,72.14858269125927,72.14858269125927,635.4298404750368,321.05762754578907,61.60427803664668 
 09/18  17:00:00,121.5761152775365,121.5761152775365,121.5761152775365,61.957373651370769,61.957373651370769,312.4530836882872,151.8959646214548,58.91107385528376 
 09/18  18:00:00,27.565893742117063,27.565893742117063,27.565893742117063,23.143285024077387,23.143285024077387,93.6569674039255,45.705010578866907,54.76963850011246 
 09/18  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.42630135473862 
 09/18  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.32004399315412 
 09/18  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86241895749153 
 09/18  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.123025866626679 
 09/18  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.310599896478489 
 09/18  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.79261199625599 
 09/19  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.18542110657438 
 09/19  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.861412534326264 
 09/19  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.966490857406308 
 09/19  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9699986132009 
 09/19  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.262258837805868 
 09/19  06:00:00,1.9702323378714433,1.9702323378714433,1.9702323378714433,2.4462202250099747,1.9468200790002557,1.9468200790002557,3.7571666100787008,20.676215012760918 
 09/19  07:00:00,22.799778027880817,22.799778027880817,22.799778027880817,27.262345636588554,21.89349160899159,21.89349160899159,42.75845610198749,19.423045949424023 
 09/19  08:00:00,64.23257651748094,64.23257651748094,64.23257651748094,76.86070820607799,57.99000276096905,57.99000276096905,116.31804123223701,18.760119255310419 
 09/19  09:00:00,108.51739493346087,108.51739493346087,108.51739493346087,120.69709914484383,92.38741384905618,92.38741384905618,190.12300485526456,18.726757394830199 
 09/19  10:00:00,150.1175024354773,150.1175024354773,150.1175024354773,150.56327207103485,119.61279950587753,119.61279950587753,251.21538992713563,19.265739711298143 
 09/19  11:00:00,189.963433070924,189.963433070924,189.963433070924,164.88515629823633,135.64524743890994,135.64524743890994,293.38118148736546,20.282515691617485 
 09/19  12:00:00,204.1251063753944,204.1251063753944,204.1251063753944,150.5235180852624,143.3728704488361,144.1507682808706,312.6472400062085,21.452089899011793 
 09/19  13:00:00,172.1211064524865,172.1211064524865,172.1211064524865,130.5880743418284,130.5880743418284,141.48063422846199,277.33974186793616,22.45503709381387 
 09/19  14:00:00,69.9898922941938,69.9898922941938,69.9898922941938,66.43966459188499,66.43966459188499,68.82639820170629,128.53793409095318,21.943487469887886 
 09/19  15:00:00,51.89426487023971,51.89426487023971,51.89426487023971,50.867630757452747,50.867630757452747,52.23148012879783,97.39743920250059,20.41274606752068 
 09/19  16:00:00,37.35375874580773,37.35375874580773,37.35375874580773,36.61280243923183,36.61280243923183,38.27979736645622,70.61919259011387,19.087287905917767 
 09/19  17:00:00,20.746317854798748,20.746317854798748,20.746317854798748,20.337800695991644,20.337800695991644,22.049292227065178,39.53998492676855,17.83452449072599 
 09/19  18:00:00,5.307424446978869,5.307424446978869,5.307424446978869,5.243759170496697,5.243759170496697,5.988661488938462,10.232561634586928,16.640709776212625 
 09/19  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.521157042465536 
 09/19  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48334801458302 
 09/19  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.615220933402459 
 09/19  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.974946176145977 
 09/19  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.304341711142259 
 09/19  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61646922013683 
 09/20  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.87275699493318 
 09/20  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.139293453951334 
 09/20  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59928928778632 
 09/20  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197437389705346 
 09/20  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.695310462042214 
 09/20  06:00:00,5.8613231376343359,5.8613231376343359,5.8613231376343359,49.046057738397568,4.6334520105401879,4.6334520105401879,8.872663724092425,8.14789802609969 
 09/20  07:00:00,105.28160730757301,105.28160730757301,105.28160730757301,426.15100916870588,46.843298555409209,46.843298555409209,119.06226700471469,8.156864576064662 
 09/20  08:00:00,333.78541009691568,333.78541009691568,333.78541009691568,793.6012523822675,94.45292082850709,94.45292082850709,343.8238273535751,10.148280455035679 
 09/20  09:00:00,545.2702248738699,545.2702248738699,545.2702248738699,840.1794296404282,118.270353734585,118.270353734585,548.4898255715194,15.746072195669559 
 09/20  10:00:00,693.927384646302,693.927384646302,693.927384646302,692.3174836618534,136.74227282403707,136.74227282403707,701.148740399661,23.58710780118222 
 09/20  11:00:00,785.3862335345201,785.3862335345201,785.3862335345201,465.8458827674348,140.45635065109219,140.45635065109219,793.8888207101855,32.686497644032439 
 09/20  12:00:00,802.6954181177259,802.6954181177259,802.6954181177259,210.4384334080488,141.81032042746907,151.92845549730238,823.7495113589017,40.52335932777679 
 09/20  13:00:00,775.3814192473604,775.3814192473604,775.3814192473604,132.85682051634627,132.85682051634627,334.3498414605792,791.5031370423114,47.19676237236338 
 09/20  14:00:00,690.0821419462126,690.0821419462126,690.0821419462126,116.27376247813179,116.27376247813179,552.3310613697913,697.6756285798116,52.47583884029464 
 09/20  15:00:00,549.4662156973827,549.4662156973827,549.4662156973827,91.34127205725074,91.34127205725074,702.6802568055908,547.1098080140895,55.76915464597066 
 09/20  16:00:00,362.468453746013,362.468453746013,362.468453746013,64.50777093893569,64.50777093893569,731.0169865052276,351.5944200053149,56.01450179218976 
 09/20  17:00:00,175.27866930862394,175.27866930862394,175.27866930862394,43.805284828816578,43.805284828816578,598.8837202393406,163.7960478427334,53.54992113005135 
 09/20  18:00:00,32.38954098970846,32.38954098970846,32.38954098970846,17.916623792808158,17.916623792808158,203.73090635639108,37.46349546477417,49.57356305087893 
 09/20  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.22795086869267 
 09/20  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.13491069497616 
 09/20  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.638067592019229 
 09/20  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.37848252650613 
 09/20  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42986114843959 
 09/20  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.755040586775139 
 09/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2015947823559 
 09/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.939935543986456 
 09/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75314127732597 
 09/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.652050654906288 
 09/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.762288451808208 
 09/21  06:00:00,5.015376844032574,5.015376844032574,5.015376844032574,38.593749993223898,4.030123504376563,4.030123504376563,8.143747877951267,16.148959218357257 
 09/21  07:00:00,93.53815925708936,93.53815925708936,93.53815925708936,361.66054562258059,43.368745607491167,43.368745607491167,107.9051906842738,15.021583152300263 
 09/21  08:00:00,317.02704180760198,317.02704180760198,317.02704180760198,748.174197189434,92.14007143364677,92.14007143364677,326.7906447268445,16.284166566823556 
 09/21  09:00:00,487.9102586236519,487.9102586236519,487.9102586236519,749.2073723629986,116.6649703979839,116.6649703979839,493.2710572554734,21.185656943707298 
 09/21  10:00:00,560.9728897254425,560.9728897254425,560.9728897254425,558.8651463337932,126.70379162973612,126.70379162973612,568.0529244773408,27.30546827775313 
 09/21  11:00:00,725.3488723330819,725.3488723330819,725.3488723330819,428.72871831555156,129.8116536866787,129.8116536866787,735.8844952755534,34.63989075665538 
 09/21  12:00:00,758.9357060670982,758.9357060670982,758.9357060670982,192.8169294764425,127.65451421814908,137.39778053575237,774.5550015682586,41.564528669089579 
 09/21  13:00:00,735.4743943683968,735.4743943683968,735.4743943683968,120.78302177069864,120.78302177069864,313.05074887998605,748.1321735085271,47.84805713521165 
 09/21  14:00:00,636.6552666796371,636.6552666796371,636.6552666796371,105.4560129115242,105.4560129115242,508.53481907242669,642.5677402324702,52.32794887319079 
 09/21  15:00:00,495.3944851101321,495.3944851101321,495.3944851101321,90.49165461503323,90.49165461503323,628.4390854788073,493.2147806503797,54.415745950122047 
 09/21  16:00:00,280.5014684434671,280.5014684434671,280.5014684434671,79.32547952235513,79.32547952235513,522.3754092197851,288.175815765612,53.73357001933857 
 09/21  17:00:00,86.06924848135168,86.06924848135168,86.06924848135168,56.403502765210628,56.403502765210628,177.1036309272173,126.16183388001349,50.65367667823413 
 09/21  18:00:00,13.429018744024975,13.429018744024975,13.429018744024975,12.284385080406091,12.284385080406091,24.933151629705806,24.00401595055089,46.56280202845309 
 09/21  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.447719507048947 
 09/21  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.64273308873349 
 09/21  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.33432762246436 
 09/21  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.23934640375449 
 09/21  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4901513344089 
 09/21  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.559814581983713 
